x,y_expected,y_actual,error(abs),error(rate)
0.03125,-3.25269532886061181114e1,-32.526953288606116,2.43402962e-15,7.48311593e-17
0.0625,-1.64788534900601043665e1,-16.478853490060104,7.84978650e-16,4.76355137e-17
0.09375,-1.10994162679868641142e1,-11.099416267986864,3.11946102e-16,2.81047304e-17
0.125,-8.38849266329585486780e0,-8.388492663295855,9.96840325e-17,1.18834261e-17
0.15625,-6.74594908181731815186e0,-6.745949081817319,5.19163495e-16,7.69592964e-17
0.1875,-5.63833198337323379074e0,-5.6383319833732335,2.99375466e-16,5.30964595e-17
0.21875,-4.83696144320252799606e0,-4.836961443202528,3.63130797e-16,7.50741558e-17
0.25,-4.22745353337626540809e0,-4.227453533376265,7.91994644e-16,1.87345559e-16
0.28125,-3.74622703758080372902e0,-3.7462270375808036,1.75168777e-16,4.67587189e-17
0.3125,-3.35510557620983991633e0,-3.35510557620984,7.02713978e-17,2.09446160e-17
0.34375,-3.02977268968719454268e0,-3.0297726896871944,1.66869267e-16,5.50764972e-17
0.375,-2.75399904914513957576e0,-2.7539990491451394,1.98504736e-16,7.20787233e-17
0.40625,-2.51653377259114830358e0,-2.5165337725911483,4.47019314e-18,1.77632948e-18
0.4375,-2.30932782971958361343e0,-2.3093278297195834,2.21961768e-16,9.61153135e-17
0.46875,-2.12646792186259755661e0,-2.1264679218625977,1.42029351e-16,6.67912029e-17
0.5,-1.96351002602142347944e0,-1.9635100260214235,6.95842813e-17,3.54387196e-17
0.53125,-1.81704805263398124048e0,-1.8170480526339816,3.73602176e-16,2.05609409e-16
0.5625,-1.68442619765149598793e0,-1.684426197651496,4.97873594e-17,2.95574597e-17
0.59375,-1.56354205987949408614e0,-1.563542059879494,6.88995501e-17,4.40663234e-17
0.625,-1.45270876457656656721e0,-1.4527087645765668,2.68347188e-16,1.84721944e-16
0.65625,-1.35055643172225229963e0,-1.3505564317222523,3.99534120e-17,2.95829267e-17
0.6875,-1.25596047603693597962e0,-1.255960476036936,7.80296637e-17,6.21274834e-17
0.71875,-1.16798857735652984962e0,-1.16798857735653,9.48709293e-17,8.12259051e-17
0.75,-1.08586087978647216963e0,-1.0858608797864722,3.39614931e-18,3.12760996e-18
0.78125,-1.00891971884207886568e0,-1.008919718842079,2.28362559e-16,2.26343638e-16
0.8125,-9.36606314063183836927e-1,-0.936606314063184,1.16495627e-16,1.24380570e-16
0.84375,-8.68442623506568035405e-1,-0.868442623506568,5.65192492e-17,6.50811552e-17
0.875,-8.04017071547695382324e-1,-0.8040170715476954,3.43091981e-17,4.26722260e-17
0.90625,-7.42973216655109989104e-1,-0.74297321665511,3.09640945e-17,4.16759230e-17
0.9375,-6.85000674495697770055e-1,-0.6850006744956978,2.21546233e-17,3.23424839e-17
0.96875,-6.29827788248688602340e-1,-0.6298277882486886,3.30787377e-17,5.25202894e-17
1,-5.77215664901532860607e-1,-0.5772156649015329,4.94291515e-18,8.56337666e-18
1.03125,-5.26953288606118111369e-1,-0.5269532886061181,8.46103124e-18,1.60565109e-17
1.0625,-4.78853490060104366506e-1,-0.4788534900601044,4.76886181e-17,9.95891626e-17
1.09375,-4.32749601320197447508e-1,-0.43274960132019746,1.58866283e-17,3.67109022e-17
1.125,-3.88492663295854867803e-1,-0.3884926632958549,4.41728813e-17,1.13703257e-16
1.15625,-3.45949081817318151865e-1,-0.34594908181731815,2.64132664e-18,7.63501561e-18
1.1875,-3.04998650039900457406e-1,-0.30499865003990045,3.31599278e-18,1.08721556e-17
1.21875,-2.65532871773956567493e-1,-0.2655328717739566,5.71679194e-17,2.15295074e-16
1.25,-2.27453533376265408090e-1,-0.2274535333762654,1.48385268e-17,6.52376182e-17
1.28125,-1.90671482025248173464e-1,-0.19067148202524814,3.33069460e-17,1.74682368e-16
1.3125,-1.55105576209839916329e-1,-0.15510557620983992,1.89309883e-18,1.22052274e-17
1.34375,-1.20681780596285451767e-1,-0.12068178059628544,1.16903671e-17,9.68693622e-17
1.375,-8.73323824784729090974e-2,-0.08733238247847293,1.89139402e-17,2.16574192e-16
1.40625,-5.49953110526867651223e-2,-0.05499531105268676,2.33514886e-18,4.24608719e-17
1.4375,-2.36135440052978991417e-2,-0.0236135440052979,2.06537782e-18,8.74658128e-17
1.46875,6.86541147073577672814e-3,0.006865411470735778,9.69688021e-19,1.41242521e-16
1.5,3.64899739785765205590e-2,0.03648997397857652,1.95342299e-19,5.35331428e-18
1.53125,6.53048885424893477584e-2,0.06530488854248934,1.11470121e-17,1.70691848e-16
1.5625,9.33515801262817898436e-2,0.09335158012628178,9.69597240e-18,1.03865113e-16
1.59375,1.20668466436295387546e-1,0.1206684664362954,1.70404483e-17,1.41217079e-16
1.625,1.47291235423433432789e-1,0.14729123542343345,1.47596837e-17,1.00207481e-16
1.65625,1.73253092087271509895e-1,0.17325309208727152,1.08761423e-17,6.27760357e-17
1.6875,1.98584978508518565831e-1,0.19858497850851858,1.78532339e-17,8.99022376e-17
1.71875,2.23315770469557106897e-1,0.22331577046955706,5.02206555e-17,2.24886292e-16
1.75,2.47472453546861163706e-1,0.24747245354686112,4.28631434e-17,1.73203695e-16
1.78125,2.71080281157921134317e-1,0.2710802811579211,3.51837532e-17,1.29790898e-16
1.8125,2.94162916706046932304e-1,0.2941629167060469,4.81742099e-17,1.63767107e-16
1.84375,3.16742561678617149780e-1,0.31674256167861714,9.27174486e-18,2.92721787e-17
1.875,3.38840071309447474819e-1,0.3388400713094475,1.32717886e-17,3.91682972e-17
1.90625,3.60475059206958976413e-1,0.36047505920695894,3.98604777e-17,1.10577630e-16
1.9375,3.81665992170968896611e-1,0.3816659921709689,1.85535543e-17,4.86120185e-17
1.96875,4.02430276267440429918e-1,0.40243027626744043,4.42782093e-18,1.10027033e-17
2,4.22784335098467139394e-1,0.42278433509846713,4.94291515e-18,1.16913394e-17
2.03125,4.42743681090851585601e-1,0.4427436810908516,1.84534663e-17,4.16797960e-17
2.0625,4.62322980528130927612e-1,0.462322980528131,5.02722370e-17,1.08738348e-16
2.09375,4.81536112965516838207e-1,0.4815361129655168,4.44352203e-17,9.22780642e-17
2.125,5.00396225593034021086e-1,0.500396225593034,3.80049756e-17,7.59497647e-17
2.15625,5.18915783047546713000e-1,0.5189157830475467,4.86018028e-18,9.36602902e-18
2.1875,5.37106613117994279437e-1,0.5371066131179942,4.34302398e-17,8.08596260e-17
2.21875,5.54979948738863945327e-1,0.554979948738864,8.08982773e-17,1.45767928e-16
2.25,5.72546466623734591910e-1,0.5725464666237345,5.17748547e-17,9.04290878e-17
2.28125,5.89816322852800607023e-1,0.5898163228528006,4.87440512e-18,8.26427640e-18
2.3125,6.06799185694921988433e-1,0.606799185694922,1.64317337e-17,2.70793601e-17
2.34375,6.23504265915342455209e-1,0.6235042659153425,1.52404989e-17,2.44432953e-17
2.375,6.39940344794254363630e-1,0.6399403447942544,7.06608721e-17,1.10417905e-16
2.40625,6.56115800058424345989e-1,0.6561158000584244,5.72295095e-17,8.72247087e-17
2.4375,6.72038629907745579119e-1,0.6720386299077455,3.52513921e-17,5.24544134e-17
2.46875,6.87716475300523010771e-1,0.6877164753005232,1.44896373e-16,2.10692019e-16
2.5,7.03156640645243187226e-1,0.7031566406452432,4.43058697e-18,6.30099570e-18
2.53125,7.18366113032285266126e-1,0.7183661130322854,1.03273932e-16,1.43762255e-16
2.5625,7.33351580126281789844e-1,0.7333515801262818,2.41288717e-17,3.29021882e-17
2.59375,7.48119446828452250292e-1,0.7481194468284523,7.77217558e-17,1.03889501e-16
2.625,7.62675850808048817405e-1,0.7626758508080489,7.66759678e-17,1.00535460e-16
2.65625,7.77026676992931887254e-1,0.7770266769929319,4.33449289e-17,5.57830640e-17
2.6875,7.91177571101111158424e-1,0.7911775711011112,4.04688881e-17,5.11501964e-17
2.71875,8.05133952287738925079e-1,0.805133952287739,6.02970001e-17,7.48906439e-17
2.75,8.18901024975432592278e-1,0.8189010249754326,8.68292561e-18,1.06031442e-17
2.78125,8.32483789929850958878e-1,0.832483789929851,1.08367570e-17,1.30173790e-17
2.8125,8.45887054637081415063e-1,0.8458870546370814,5.58309204e-17,6.60028074e-17
2.84375,8.59115443034549353170e-1,0.8591154430345492,1.22175781e-16,1.42211134e-16
2.875,8.72173404642780808152e-1,0.8721734046427808,5.87030179e-18,6.73065902e-18
2.90625,8.85065223141385205922e-1,0.8850652231413851,6.80710628e-17,7.69107869e-17
2.9375,8.97795024429033412740e-1,0.8977950244290334,5.12830554e-17,5.71211178e-17
2.96875,9.10366784203948366426e-1,0.9103667842039483,2.37683194e-17,2.61085090e-17
3,9.22784335098467139394e-1,0.9227843350984671,4.94291515e-18,5.35652261e-18
3.03125,9.35051373398543893293e-1,0.9350513733985439,4.57820331e-17,4.89620511e-17
3.0625,9.47171465376615776097e-1,0.9471714653766159,1.19240637e-16,1.25891289e-16
3.09375,9.59148053264024300893e-1,0.9591480532640242,1.09060143e-16,1.13705222e-16
