x=1, n=13, |dx| = 0.5
i,p_i,q_i
0,-5.7721566490153286060651209008240243104215933593992359880576723489e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,-1.3832605845192657479083749209560388152083723048224261828137836789e-2,2.8737381425301197745774887220709988157775256340498927245641229200e0
2,1.5839091209680406063962148636823219827304203941524039271058141193e0,3.3629436339924050052258246721686612736697027861388469591131037861e0
3,1.9177426309747905739472134472369053663352806370307809346826410727e0,2.1517163420908555867308202911934168328259507516217294718705902950e0
4,1.0823417738288506979465559358732464311052715985294054961055156210e0,8.4548282918723085214065775592882344619170090542143093060624909336e-1
5,3.5699380296593862374270747477689812523151681608753372518644109275e-1,2.1579537828506894000983304760658450404777044550311193160902280917e-1
6,7.4415400230061176233355135116047944079561831855838814445805490110e-2,3.6704786707869089230846167476958234247769083499768988425197250514e-2
7,1.0089203055456537564765215516635519512356486309187657337450657503e-2,4.1816103223533257152374610873462828371252613999175921324130132418e-3
8,8.9008349425517215668623519374333858228273663816203467815242680613e-4,3.1495958308780104858343159375213458872139951487554031274706611323e-4
9,4.9887258897414015463219665752638298079665350880575122899152054095e-5,1.5168358281180017949239831739429333864297562841396394752710070758e-5
10,1.6838517707845931727997335161782963472006837435594329001413665922e-6,4.3889138522929411631937163495327818676619598991525707139332719071e-7
11,3.0947200971278596435303384117947732380530770875642995541775368481e-8,6.8209112795349360651345115575915808258597065257545386160873884908e-9
12,2.5392890205043749477061379935549816667209539893140129135800692337e-10,4.5687380073836790371823124113464235834732708481404409912359567430e-11
13,5.6952451543980089269610543103033300236965746538610188067788377878e-13,7.5270427600309548002469736734948677499270408731717251852711070104e-14
relative error = 9.1356605449e-35

x=2, n=12, |dx| = 0.5
i,p_i,q_i
0,4.2278433509846713939348790991759756895784066406007640119423276512e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.4383691345090025843931751540603866413334372711646942101169150468e0,1.8766898434777245649479796246478267683280560060346355524939991793e0
2,1.6401405438424152443081798194859403250335470469583676843544497632e0,1.4945119333430336117943724253428628505631412395992888898868965492e0
3,9.4877592232657314772803598755991744288892643839844185380254850365e-1,6.6650806111312140291204735671208001064597809151987507944073110241e-1
4,3.2350418775385925900864548277362819083613969075365118519369032501e-1,1.8463187581595870634101821530364669390885147620695732562865331038e-1
5,6.9531656515555819864286386631085310387953699228380196575759890315e-2,3.3243073196561087129833610113650416887651154702084462801124970855e-2
6,9.6812390124052943732262909243606444746757585237548458364579659933e-3,3.9485725543966791486725444172646657685617003626717782590870975128e-3
7,8.7401379233970029377126280715636036039895714522044145725534340483e-4,3.0707250619375320567807863141027993295839818218972489510349949909e-4
8,4.9991970771392530299790344803194047666706507869292314029097310859e-5,1.5171178812168076669050582074121304359555237341086770045029811765e-5
9,1.7186535208144999056281317694080685032376758889337440003610045030e-6,4.4840435712687198005108000286240227106265061458699542623620147980e-7
10,3.2131901399355976425994527906958727235916905287941294953427206151e-8,7.0986169871074983978651653554785606605626168736223159684143479215e-9
11,2.6803691171977016228441883158496797243092603113259420215231690060e-10,4.8352594961499605027989438571920654818336676466809094594832619383e-11
12,6.1120200433289267388414929031756801000954383970056385947700277923e-13,8.0949206928638069097263143908045623363272568129193468034124590084e-14
relative error = 3.2509866506e-34

x=3, n=11, |dx| = 0.5
i,p_i,q_i
0,9.2278433509846713939348790991759756895784066406007640119423276512e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.6711501838946183968641297112501982146632816427311482117130399397e0,1.3830058319208586612580030886635504092323172713839893342174851291e0
2,1.2206472105085812444186705821801534333866838071717546498520638144e0,8.1439180034700663742843957555159706574104352474728123512472175271e-1
3,4.8211067371241385970174311236494574203895910575096086137976147574e-1,2.6791365147684536426097946656337691806185474051002004738374722761e-1
4,1.1486292105545158035664033143560844392920402464684643861300951879e-1,5.4261118893877118467636387289017976824115419559334806963492905972e-2
5,1.7275858650135289240361529744463543591368063253672259513260740848e-2,7.0236542217321486061026773985830918006208937303773097472298181804e-3
6,1.6574393616889054129477901454924589015203437948663774604680867449e-3,5.8349794481557114015196271318405341320078123366429694265246614835e-4
7,9.9669501637714068812942127664090895591955831553738769763415387707e-5,3.0396115195176103959070653221434508207728435396488644521375496812e-5
8,3.5768766931844746820354779338096751138094843948245248227478455086e-6,9.3907408061558583198887115863657037883938877243609896981350784766e-7
9,6.9491649665174217079261054903972999643100526851939471919771159323e-8,1.5451881575650118946937330797772845297491574896788831838047347780e-8
10,6.0084909137382152825968837196917942781614347209227984005061337872e-10,1.0902703194636826212739865306009260024989535588132648946395472875e-10
11,1.4190794951958411657433177673556749766806479894838214092205945276e-12,1.8878422815226763278695511794857087781262299511983935808335190194e-13
relative error = 2.0990569485e-34

x=4, n=10, |dx| = 0.5
i,p_i,q_i
