x,y_expected,y_actual,error(abs),error(rate)
0.03125,3.14528351770760612730e1,31.452835177076064,3.08160664e-15,9.79754804e-17
0.0625,1.54812810815923981562e1,15.4812810815924,1.41715048e-15,9.15396133e-17
0.09375,1.01749387474555141506e1,10.174938747455515,1.14705516e-15,1.12733372e-16
0.125,7.53394159879761190470e0,7.533941598797612,3.35104542e-17,4.44793124e-18
0.15625,5.95840872723858345205e0,5.9584087272385835,5.00829615e-17,8.40542563e-18
0.1875,4.91511347381422948701e0,4.91511347381423,8.73393691e-16,1.77695530e-16
0.21875,4.17558028693394255577e0,4.1755802869339425,1.02537081e-16,2.45563668e-17
0.25,3.62560990822190831193e0,3.625609908221908,1.05559076e-16,2.91148466e-17
0.28125,3.20178848352109151890e0,3.2017884835210917,1.69385163e-16,5.29032957e-17
0.3125,2.86609174393702724590e0,2.866091743937027,2.09362197e-16,7.30479748e-17
0.34375,2.59434186015418550410e0,2.594341860154185,2.84343362e-16,1.09601347e-16
0.375,2.37043618441660090865e0,2.3704361844166013,4.02040683e-16,1.69606204e-16
0.40625,2.18323989553621941940e0,2.1832398955362193,8.67122725e-17,3.97172444e-17
0.4375,2.02481056085114670916e0,2.024810560851147,1.47557724e-16,7.28748295e-17
0.46875,1.88933302716602571947e0,1.8893330271660258,8.29293453e-17,4.38934503e-17
0.5,1.77245385090551602730e0,1.7724538509055159,1.45378740e-16,8.20211707e-17
0.53125,1.67085073495815805714e0,1.670850734958158,1.43823064e-19,8.60777452e-20
0.5625,1.58194556776012356475e0,1.5819455677601233,2.70176343e-16,1.70787382e-16
0.59375,1.50370814820806489577e0,1.5037081482080648,1.41458160e-16,9.40728827e-17
0.625,1.43451884809055677564e0,1.4345188480905564,3.66844080e-16,2.55726218e-16
0.65625,1.37307055953664605807e0,1.3730705595366461,8.21577290e-17,5.98350379e-17
0.6875,1.31829742231058985918e0,1.3182974223105899,2.44869864e-17,1.85747055e-17
0.71875,1.26932217618004171519e0,1.2693221761800417,1.27995466e-17,1.00837651e-17
0.75,1.22541670246517764513e0,1.2254167024651776,2.15132000e-18,1.75558240e-18
0.78125,1.18597205886581417278e0,1.1859720588658142,7.64932003e-17,6.44983157e-17
0.8125,1.15047544927452647162e0,1.1504754492745264,8.66563125e-17,7.53221745e-17
0.84375,1.11849232863157703677e0,1.1184923286315769,1.54769675e-16,1.38373479e-16
0.875,1.08965235742289695125e0,1.089652357422897,5.12335496e-17,4.70182524e-17
0.90625,1.06363827524284861820e0,1.0636382752428486,2.17042181e-17,2.04056385e-17
0.9375,1.04017701118676717146e0,1.0401770111867672,2.60550059e-17,2.50486269e-17
0.96875,1.01903252505667395056e0,1.0190325250566739,9.59293383e-17,9.41376609e-17
1,1.00000000000000000000e0,1,0.00000000e0,0.00000000e0
1.03125,9.82901099283626914783e-1,0.9829010992836268,1.25744398e-16,1.27931892e-16
1.0625,9.67580067599524884760e-1,0.967580067599525,8.85719052e-17,9.15396133e-17
1.09375,9.53900507573954451623e-1,0.9539005075739545,5.20252700e-17,5.45395139e-17
1.125,9.41742699849701488087e-1,0.9417426998497014,1.06833496e-16,1.13442340e-16
1.15625,9.31001363631028664382e-1,0.9310013636310287,3.55810383e-17,3.82180303e-17
1.1875,9.21583776340168028814e-1,0.9215837763401681,5.27390147e-17,5.72265008e-17
1.21875,9.13408187766799934074e-1,0.9134081877668,6.08367404e-17,6.66041110e-17
1.25,9.06402477055477077983e-1,0.906402477055477,2.63897691e-17,2.91148466e-17
1.28125,9.00503010990306989692e-1,0.900503010990307,6.15173649e-17,6.83144466e-17
1.3125,8.95653669980321014344e-1,0.895653669980321,1.78410402e-17,1.99195747e-17
1.34375,8.91805014428001267034e-1,0.8918050144280012,6.99874552e-17,7.84784276e-17
1.375,8.88913569156225340742e-1,0.8889135691562254,9.52541047e-17,1.07157893e-16
1.40625,8.86941207561589139130e-1,0.8869412075615891,2.13490729e-17,2.40704488e-17
1.4375,8.85854620372376685259e-1,0.8858546203723767,3.68009288e-17,4.15428536e-17
1.46875,8.85624856484074556003e-1,0.8856248564840745,3.74547023e-17,4.22918373e-17
1.5,8.86226925452758013649e-1,0.886226925452758,3.83329325e-17,4.32540824e-17
1.53125,8.87639452946521467856e-1,0.8876394529465215,7.64060027e-20,8.60777452e-20
1.5625,8.89844381865069505173e-1,0.8898443818650695,2.84370488e-17,3.19573280e-17
1.59375,8.92826712998538531865e-1,0.8928267129985386,2.00926259e-17,2.25045080e-17
1.625,8.96574280056597984773e-1,0.896574280056598,2.05226308e-17,2.28900508e-17
1.65625,9.01077554695923975610e-1,0.901077554695924,1.22826462e-17,1.36310645e-17
1.6875,9.06329477838530528185e-1,0.9063294778385306,4.45903787e-17,4.91988618e-17
1.71875,9.12325314129404982792e-1,0.912325314129405,2.26078023e-18,2.47804176e-18
1.75,9.19062526848883233847e-1,0.9190625268488833,1.09408812e-16,1.19043927e-16
1.78125,9.26540670988917322484e-1,0.9265406709889173,2.50658432e-17,2.70531494e-17
1.8125,9.34761302535552758195e-1,0.9347613025355528,2.67362607e-17,2.86022332e-17
1.84375,9.43727902282893124777e-1,0.9437279022828932,3.59465407e-17,3.80899416e-17
1.875,9.53445812745034832346e-1,0.9534458127450349,9.39485222e-17,9.85357751e-17
1.90625,9.63922186938831560240e-1,0.9639221869388316,2.19639158e-17,2.27859842e-17
1.9375,9.75165947987594223244e-1,0.9751659479875943,3.83043558e-17,3.92798332e-17
1.96875,9.87187758648652889610e-1,0.9871877586486528,6.51759708e-17,6.60218588e-17
2,1.00000000000000000000e0,1,0.00000000e0,0.00000000e0
2.03125,1.01361675863624025587e0,1.0136167586362403,8.89012480e-17,8.77069635e-17
2.0625,1.02805382182449519006e0,1.028053821824495,1.83448107e-16,1.78442123e-16
2.09375,1.04332868015901268146e0,1.0433286801590127,1.87387225e-17,1.79605170e-17
2.125,1.05946053733091417410e0,1.0594605373309143,1.01856922e-16,9.61403645e-17
2.15625,1.07647032669837689319e0,1.076470326698377,1.62571219e-16,1.51022480e-16
2.1875,1.09438073440394953422e0,1.0943807344039496,2.79331104e-17,2.55241248e-17
2.21875,1.11321622884078741965e0,1.1132162288407874,5.65250257e-18,5.07763220e-18
2.25,1.13300309631934634748e0,1.1330030963193463,8.84983626e-17,7.81095506e-17
2.28125,1.15376948283133083054e0,1.153769482831331,1.30860828e-16,1.13420254e-16
2.3125,1.17554544184917133133e0,1.1755454418491713,1.82169982e-17,1.54966346e-17
2.34375,1.19836298813762670258e0,1.1983629881376268,5.86100229e-17,4.89084055e-17
2.375,1.22225615758980984352e0,1.2222561575898097,1.88214726e-16,1.53989591e-16
2.40625,1.24726107313348472690e0,1.2472610731334848,4.97751462e-17,3.99075600e-17
2.4375,1.27341601678529148506e0,1.2734160167852915,2.60981607e-18,2.04946069e-18
2.46875,1.30076150796098450413e0,1.3007615079609847,1.60094117e-16,1.23077225e-16
2.5,1.32934038817913702047e0,1.329340388179137,1.98824752e-18,1.49566472e-18
2.53125,1.35919791232436099766e0,1.359197912324361,6.25670418e-17,4.60323263e-17
2.5625,1.39038184666417110183e0,1.390381846664171,1.80171564e-17,1.29584232e-17
2.59375,1.42294257384142078516e0,1.4229425738414208,3.04274225e-17,2.13834508e-17
2.625,1.45693320509197172526e0,1.4569332050919717,6.37952396e-17,4.37873469e-17
2.65625,1.49240969996512408460e0,1.492409699965124,1.25373639e-16,8.40075210e-17
2.6875,1.52943099385252026631e0,1.5294309938525201,1.39859447e-16,9.14454117e-17
2.71875,1.56805913365991481417e0,1.5680591336599146,2.52853358e-16,1.61252438e-16
2.75,1.60835942198554565923e0,1.6083594219855457,5.26875437e-17,3.27585632e-17
2.78125,1.65040057019900898068e0,1.6504005701990088,2.15559988e-16,1.30610709e-16
2.8125,1.69425486084568937423e0,1.6942548608456893,4.86850421e-17,2.87353711e-17
2.84375,1.73999831983408419881e0,1.739998319834084,1.59237617e-16,9.15159605e-17
2.875,1.78771089889694031065e0,1.7877108988969403,3.73756011e-17,2.09069604e-17
2.90625,1.83747666885214766171e0,1.8374766688521476,1.07317505e-16,5.84048257e-17
2.9375,1.88938402422596380753e0,1.8893840242259639,4.64591137e-17,2.45895557e-17
2.96875,1.94352589983953537642e0,1.9435258998395353,1.00559617e-16,5.17408165e-17
3,2.00000000000000000000e0,2,0.00000000e0,0.00000000e0
3.03125,2.05890904097986301974e0,2.0589090409798634,3.60991902e-16,1.75331641e-16
3.0625,2.12036100751302132949e0,2.1203610075130213,7.30503887e-17,3.44518638e-17
3.09375,2.18446942408293280181e0,2.1844694240829328,3.70936326e-17,1.69806142e-17
3.125,2.25135364182819261996e0,2.2513536418281928,1.33179233e-16,5.91551814e-17
3.15625,2.32113914194337517594e0,2.321139141943375,2.80895154e-16,1.21016078e-16
3.1875,2.39395785650863960610e0,2.3939578565086395,1.47063138e-16,6.14309637e-17
3.21875,2.46994850774049708736e0,2.4699485077404972,1.47053070e-16,5.95368969e-17
3.25,2.54925696671852928183e0,2.5492569667185294,1.33945591e-16,5.25429932e-17
3.28125,2.63203663270897345717e0,2.6320366327089735,2.09705078e-17,7.96740726e-18
3.3125,2.71844883427620870369e0,2.7184488342762085,1.67026899e-16,6.14419873e-17
3.34375,2.80866325344756258416e0,2.8086632534475626,4.02227266e-17,1.43209502e-17
3.375,2.90285837427579837836e0,2.902858374275798,3.08232095e-16,1.06182271e-16
3.40625,3.00122195722744762411e0,3.0012219572274477,4.34436125e-17,1.44753081e-17
3.4375,3.10395154091414799483e0,3.103951540914148,4.91497246e-17,1.58345657e-17
3.46875,3.21125497277868049457e0,3.2112549727786805,5.52265500e-17,1.71978091e-17
3.5,3.32335097044784255118e0,3.3233509704478426,4.97061879e-18,1.49566472e-18
3.53125,3.44046971557103877531e0,3.440469715571039,3.13471961e-16,9.11131289e-17
3.5625,3.56285348207693844845e0,3.5628534820769384,3.22911755e-17,9.06329032e-18
3.59375,3.69075730090118516151e0,3.6907573009011854,2.05573523e-16,5.56995506e-17
3.625,3.82444966336642577880e0,3.8244496633664258,9.29050261e-19,2.42923909e-19
3.65625,3.96421326553236084973e0,3.964213265532361,1.24943269e-16,3.15177969e-17
3.6875,4.11034579597864821571e0,4.110345795978648,1.95461022e-16,4.75534254e-17
3.71875,4.26316076963789340104e0,4.263160769637893,3.68255949e-16,8.63809667e-17
3.75,4.42298841046025056289e0,4.42298841046025,6.32265372e-16,1.42949814e-16
3.78125,4.59017658586599372750e0,4.5901765858659935,1.97070371e-16,4.29330696e-17
3.8125,4.76509179612850136502e0,4.765091796128501,4.97749164e-16,1.04457413e-16
3.84375,4.94812022202817694036e0,4.9481202220281775,5.32490960e-16,1.07614798e-16
3.875,5.13966883432870339311e0,5.1396688343287025,9.19501445e-16,1.78902858e-16
3.90625,5.34016656885155414184e0,5.340166568851553,7.55980707e-16,1.41565005e-16
3.9375,5.55006557116376868463e0,5.550065571163769,6.70847076e-17,1.20871919e-17
3.96875,5.76984251514862064874e0,5.76984251514862,3.05475257e-16,5.29434306e-17
4,6.00000000000000000000e0,6,0.00000000e0,0.00000000e0
4.03125,6.24106803047020977857e0,6.24106803047021,2.98441108e-17,4.78189160e-18
4.0625,6.49360558550862782157e0,6.493605585508628,5.38389408e-17,8.29107035e-18
4.09375,6.75820228075657335561e0,6.758202280756573,1.01416644e-17,1.50064528e-18
4.125,7.03548013071310193737e0,7.035480130713102,3.60673952e-16,5.12650089e-17
4.15625,7.32609541675877789908e0,7.326095416758777,6.09019575e-16,8.31301724e-17
4.1875,7.63074066762128874444e0,7.630740667621289,4.74925818e-16,6.22384954e-17
4.21875,7.95014675928972499992e0,7.950146759289725,4.14851352e-16,5.21815967e-17
4.25,8.28508514183522016594e0,8.28508514183522,5.63877550e-16,6.80593549e-17
4.28125,8.63637020107631915635e0,8.63637020107632,3.18609659e-16,3.68916167e-17
4.3125,9.00486176353994133098e0,9.00486176353994,7.19810055e-16,7.99357141e-17
4.34375,9.39146775371528739080e0,9.391467753715288,5.78583952e-16,6.16074044e-17
4.375,9.79714701318081952697e0,9.797147013180819,5.96194112e-16,6.08538497e-17
4.40625,1.02229122918059934696e1,10.222912291805992,1.65613261e-15,1.62002036e-16
4.4375,1.06698334218923837322e1,10.669833421892383,8.02492968e-16,7.52113868e-17
4.46875,1.11390406868260479655e1,11.139040686826048,1.22178156e-16,1.09684630e-17
4.5,1.16317283965674489291e1,11.63172839656745,9.05575585e-16,7.78539143e-17
4.53125,1.21491586831102306753e1,12.14915868311023,1.05798704e-15,8.70831523e-17
4.5625,1.26926655298990932226e1,12.692665529899093,1.34762868e-16,1.06173812e-17
4.59375,1.32636590501136341742e1,13.263659050113635,4.88979667e-16,3.68661216e-17
4.625,1.38636300297032934481e1,13.863630029703295,1.16236637e-15,8.38428583e-17
