x=1, n=9, |dx| = 0.5
i,p_i,q_i
0,1.0000000000000000000000000000000000000000000000000000000000000000e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,7.4491137124522101254748336215254469737434507324280893962921787521e-1,1.3221270361467538731539954522349471284165044091827325384349851101e0
2,3.3820131269190808396698902257370681298127023784944485180085537812e-1,1.1229775361767703589134106131626585650355991822092223619473708324e-1
3,1.0411930355176629842584354207882253291195287565637821634021831662e-1,-2.3123926953212144572421462181913128227976231240134279749287673364e-1
4,2.4708068742425196388171678765520524984914745482480524561588059331e-2,-1.7610920597134774861345360536327551686599201961019205016379488221e-3
5,4.5052722285350401149511811294868652482085682285006817096666770437e-3,1.8131013044025633102395108885551974374966285244684549953169036689e-2
6,6.5573691024407144139621363634596760627412370041577305789907567575e-4,-2.0544818253712080846883819159458158561577735300529900681092691072e-3
7,7.1552215622579859702165865375710049011071807340759298883543624695e-5,-4.2267716839869906254446378764408064271486275687026711838173151618e-4
8,5.7526697810517715492643529417154809904628120012011981955991524057e-6,1.0712760869501312429771292276492817090989347761135465937997092825e-4
9,2.4442635620848471918061409122038372161533935998608071045582833647e-7,-6.7951498844513315324350651430899006496623294205048835680689432019e-6
relative error = 3.1345934794e-18

x=2, n=8, |dx| = 0.5
i,p_i,q_i
0,1.0000000000000000000000000000000000000000000000000000000000000000e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,7.0894721124935650298499126836434362422265697691203038942312729069e-1,2.8616287615088936359150335844674605526481631285195398822889452557e-1
2,3.1019081986941235830003534360021314775254551042351705784515431622e-1,-2.2263469188034609554864621684020117710063096308452919212556289641e-1
3,9.0651708038402601848090437036568777099729109117446405817961277191e-2,-1.4652164501962054575865001489328758045412157791230144472295636773e-2
4,2.0363539321016336974356780249692340154770426437890985608887832332e-2,2.0654893423333105341878393777303648601532782533792229579344886099e-2
5,3.4189029799725551284803305602351808687775278471488126918658870251e-3,-2.0977862513063403537194334744493959570413043003534507678751024205e-3
6,4.5125237251757398021767314418217982823710551565388541031843577998e-4,-5.2031588399112130983941976010684385364301824489521719994411841508e-4
7,4.0751351258126660976556575952531345386460246664504458522488111308e-5,1.2896443315438724768561322215605768596892926852394283781766701457e-4
8,2.5499649781059349935044048054413137962861845887392487939856869038e-6,-8.4079172273713518402859460003411607445681100748886560569123091015e-6
relative error = 1.7914780088e-17

x=3, n=8, |dx| = 0.5
i,p_i,q_i
0,2.0000000000000000000000000000000000000000000000000000000000000000e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.3933773423652876560832895632393239188347433100021909689900007101e0,-2.2609566391582331135184312829793560954046900905898091669923241008e-1
2,6.0409515127240142346853064662713833149218825754734999391991360792e-1,-1.1254738544426304915299111235874058872856021492401441291636474663e-1
3,1.7468516482013735177283160391832891404555448314768845309364410208e-1,4.4612627597744593225180881429636163037783275139462831969250978676e-2
4,3.8965698945236794190959319869095851443185898800248663801202653320e-2,-1.5774224432434749081398021387680506694729051111663935044000955186e-3
5,6.4879632918721094418817513209176078835064270796302066902030407886e-3,-1.5954418616653852206272424365610935214140177498836601535063422738e-3
6,8.5300128974125996295077709580887445118263066808355634518538440575e-4,3.1578800549538000401900308579801360170622641092765463568968286405e-4
7,7.6525769696491885741970137385776501507449907493464706425715156036e-5,-2.1889123035087385404734322053113849933532889165915711027302205442e-5
