x,y_expected,y_actual,error(abs),error(rate)
0.03125,3.44848912779795847968e0,3.448489127797959,3.17888895e-16,9.21820783e-17
0.0625,2.73963162194620341859e0,2.7396316219462036,1.58226011e-16,5.77544840e-17
0.09375,2.31992771140444700281e0,2.319927711404447,1.98646055e-16,8.56259677e-17
0.125,2.01941835755379634532e0,2.0194183575537963,6.15105022e-17,3.04595142e-17
0.15625,1.78480345335446597969e0,1.7848034533544659,9.44059255e-17,5.28942979e-17
0.1875,1.59231484057865189180e0,1.592314840578652,1.32503154e-16,8.32141677e-17
0.21875,1.42925333952686249920e0,1.4292533395268625,1.04042214e-17,7.27948021e-18
0.25,1.28802252469807745737e0,1.2880225246980774,2.61883689e-17,2.03322290e-17
0.28125,1.16370955477897232609e0,1.1637095547789724,9.53789338e-17,8.19611160e-17
0.3125,1.05294934003704933961e0,1.0529493400370493,2.01504636e-17,1.91371634e-17
0.34375,9.53332866013563735178e-1,0.9533328660135636,1.39491997e-16,1.46320349e-16
0.375,8.63073982270647462405e-1,0.8630739822706475,3.80331287e-18,4.40670551e-18
0.40625,7.80809964125669167505e-1,0.7808099641256693,1.08275997e-16,1.38671382e-16
0.4375,7.05476145985445273593e-1,0.7054761459854453,6.26934125e-18,8.88668070e-18
0.46875,6.36223871109866079033e-1,0.6362238711098661,3.35501938e-17,5.27333150e-17
0.5,5.72364942924700087072e-1,0.5723649429247001,5.13297558e-18,8.96801183e-18
0.53125,5.13332918847893753553e-1,0.5133329188478938,2.85687873e-17,5.56535266e-17
0.5625,4.58655461522245159546e-1,0.4586554615222452,1.85168203e-17,4.03719607e-17
0.59375,4.07934156303860539962e-1,0.40793415630386054,8.74888114e-20,2.14467972e-19
0.625,3.60829495488940181185e-1,0.3608294954889401,7.04704202e-17,1.95301163e-16
0.65625,3.17049516242245847220e-1,0.3170495162422458,3.70265813e-17,1.16784853e-16
0.6875,2.76341072466661476060e-1,0.2763410724666615,3.20843820e-17,1.16104283e-16
0.71875,2.38483038448252098015e-1,0.2384830384482521,1.23819755e-17,5.19197321e-17
0.75,2.03280951431295371481e-1,0.20328095143129538,4.32718368e-18,2.12867150e-17
0.78125,1.70562741162948993393e-1,0.17056274116294898,1.58130860e-17,9.27112562e-17
0.8125,1.40175291086570419675e-1,0.14017529108657042,5.23958130e-18,3.73787795e-17
0.84375,1.11981643302780737147e-1,0.11198164330278074,3.98177353e-19,3.55573772e-18
0.875,8.58587072253343235024e-2,0.08585870722533433,3.47106600e-18,4.04276528e-17
0.90625,6.16953662405910847575e-2,0.061695366240591076,8.43419512e-18,1.36707108e-16
0.9375,3.93909017345823006582e-2,0.039390901734582304,3.04772846e-18,7.73713809e-17
0.96875,1.88536723344128905356e-2,0.01885367233441289,1.07907130e-18,5.72340115e-17
1,-0.00000000000000000000e0,-0,0.00000000e0,0.00000000e0
1.03125,-1.72467750017680674029e-2,-0.017246775001768067,1.60366611e-19,9.29835350e-18
1.0625,-3.29571002935778190832e-2,-0.03295710029357782,1.18770264e-18,3.60378380e-17
1.09375,-4.71959027271698528772e-2,-0.04719590272716986,4.08337205e-18,8.65196302e-17
1.125,-6.00231841260395829314e-2,-0.060023184126039575,8.06090219e-18,1.34296477e-16
1.15625,-7.14945370111601927962e-2,-0.0714945370111602,1.86546271e-18,2.60923811e-17
1.1875,-8.16615929930196544714e-2,-0.08166159299301966,3.21112043e-18,3.93222850e-17
1.21875,-9.05724142175507427842e-2,-0.09057241421755073,1.14873366e-17,1.26830412e-16
1.25,-9.82718364218131614639e-2,-0.09827183642181316,6.31477955e-18,6.42582838e-17
1.28125,-1.04801770684534838201e-1,-0.10480177068453483,4.17916061e-18,3.98768130e-17
1.3125,-1.10201469768631523455e-1,-0.11020146976863153,6.31162016e-18,5.72734662e-17
1.34375,-1.14507763987792267846e-1,-0.11450776398779226,4.67424983e-18,4.08203747e-17
