x=2, n=14, |dx| = 0.5
i,p_i,q_i
0,0.0000000000000000000000000000000000000000000000000000000000000000e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,4.2278433509846713939348790991759756895784066406007640119423276512e-1,3.3400228462190159060444016744747380251582036333432369392487784104e0
2,1.7345763716765096176036944982381321935889048924159132618651491918e0,4.9601786278972832143674507587204670904514571181571903324034759437e0
3,3.1067807809009910030238701136172749239848032981684652257170301017e0,4.3168101717065417094959544926018626302322392007540982428792716798e0
4,3.2201963897476570920443490092563286347463713694160393452730070644e0,2.4428303420398149810626723047908122484852023227769058497419330508e0
5,2.1520947469329159418442720440517248087090961525288249875154003383e0,9.4279192568196333929130554040523349639891635224182745768316042311e-1
6,9.7588989998875575911898569119221790381232606494877015580635104394e-1,2.5316860539461249366950431116860340087089418942058937361899777933e-1
7,3.0719619871702075659295064418331948136611194310501402896593742631e-1,4.7383057637460343404388703238786471057881657671597361996060665848e-2
8,6.7428831309711418849814227627890862731594862291405887470418771857e-2,6.0951416127410758324992544344067593409174697352520287605869163403e-3
9,1.0207353195633705291321905824651392151749202391124769475430200394e-2,5.2225248138693480197220719054689546796404017028934876856491113340e-4
10,1.0366026572047655642153514537289036241718097864395558228196783848e-3,2.8204275190188810520153952921106831025600495492502770099373906738e-5
11,6.7181307234150700486170265739934267464504302115956032978965361065e-5,8.7266330961891337166601440844613519825384956849944142624429621005e-7
12,2.5486880625424269130193017652694884256665526281212283727024716902e-6,1.2922063307959713222070750748372535356237366636979305954375739381e-8
13,4.8229831244063544701876430922033148558640029378686008266443769815e-8,5.8761882096562892955954335582338575809139583439841604836170228165e-11
14,3.1419274530194119345134932808255026299306213565755556135445648367e-10,-2.8171366224860003307169446935115064952301507145304626963667821810e-14
relative error = 1.5416963753e-31

x=3, n=12, |dx| = 0.5
i,p_i,q_i
0,6.9314718055994530941723212145817656807550013436025525412068000949e-1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,2.2284059273807376271658302264267118874377605346121977762089997028e0,1.8836137964631837320454764228268412908651444252796563680343394817e0
2,3.0052681828549775214877221700654817865500027492941479441462918541e0,1.5431525578957197118285357232157398108738297714571039653445604381e0
3,2.2701162325675519763960586882460062602637141666316328832901749370e0,7.2113577805029803685790989220020055353603052555513860874358011936e-1
4,1.0736038138665110890006973009765867356515735975679053694086148207e0,2.1186736044877543833693828632327229228982993563349339643922333436e-1
5,3.3465992221570008094938629614059373147175949102479358412210837701e-1,4.0668234949431956193476493935253762477809747681081726116939372126e-2
6,7.0195778786862904187086383079117805411557934867308246902475431989e-2,5.1342730640908936020433677119325974479960063520010306572222560591e-3
7,9.9007829180119339690698024519384384185635374858921177444104019221e-3,4.1853640090607088684088518464229749211379645348094001538594813280e-4
8,9.1996340105608875318140217243430499990757282154028524526318685387e-4,2.1029710878885334713518952541644977645390281229909133410552701571e-5
9,5.3853021732128300186628870059087911640074224864587087644842390400e-5,5.9583310720216255295793249969239134615650342453730884807132165462e-7
10,1.8292858457157621685891006684870979714850049476358671212135806801e-6,7.9923414344937451815618970273351532781486096441270085982773659174e-9
11,3.0829910740217170285455183357544370369240154849709698448279892371e-8,3.2734380306298426222941833625205406363291700425625251306405422493e-11
12,1.7844585838961346959739078563089805836624060069199771853742911699e-10,-1.3763394048553929996905406360792445627110647428046133793976355985e-14
relative error = 3.9237339934e-32

x=4, n=11, |dx| = 0.5
i,p_i,q_i
0,1.7917594692280550008124773583807022727229906921830047058553743431e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,3.5567754279089392132813139435133901276477009530943638408289544204e0,1.2840215436217746068351267412417080926098704905053084372082177861e0
2,3.0211007197478787516806698583934359002527809522317417462746981054e0,7.0673944579988750790704119054115678143380640068348900273235403130e-1
3,1.4469751522764453091152053664735768504730537241409902197205040582e0,2.1785837587979122549219942105577265161642908584915412145699210817e-1
4,4.3256939682242391177444498069214104565193615885578099532523872260e-1,4.1232433888591604681378277954055926400351848478039194079972233646e-2
5,8.4221145898552043598416222093635008198745499447511585829568919502e-2,4.9402815172124104483572022240483528078799979661624796938416231602e-3
6,1.0796092723290259686783273970828239550818486040889106957156652752e-2,3.7268207709067322956964872455499992453458572427652940512265312789e-4
7,8.9884728793119427912500395850037686842405651114404465707658990150e-4,1.7031764325234690353407635685143804366352861203104660704768056689e-5
8,4.6694129303052603801391734952285155837821560639512610602039880965e-5,4.3370045180793948581343041388778149528377361746683310651237126116e-7
9,1.3986776083249683405429437342218198637920414738039048201828329254e-6,5.1874352235751910917197075553822441033451316636080446413548339200e-9
10,2.0708067513771750985355456853065846813443970723215192013370956533e-8,1.8873767092160680346855651213948880868262770796272470345448335205e-11
11,1.0510638830166611929867155679564334752890920199916796573874532462e-10,-6.8564332922576782346522854942730202312502832418962027283005848256e-15
relative error = 4.4017682790e-33

x=5, n=10, |dx| = 0.5
i,p_i,q_i
0,3.1780538303479456196469416012970554088739909609035152140967343621e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,4.4404246484614053712165968185761719960681287468441469695454284535e0,9.2330310833921451429183008136292828562742885591510754578091915465e-1
2,2.6418899682801059553291645961435478955635990768569534692172759199e0,3.5890687399054420110761491045080080386514630571900746718717075648e-1
3,8.7720437880549776460045883539211181891677776864214487038017698470e-1,7.6337892014734632927329584285449394148297178885344831748413594312e-2
4,1.7879059742748817804886313913490335285010862609396969233602505549e-1,9.6646286599800866010020402899424039185538587350100640962111837080e-3
5,2.3150569567089169173425360051845957956234082021862781893777942406e-2,7.4201913738998953168901893119483608677364845637144058161052902881e-4
6,1.9026275247491890027820648797837822050442997144287479855814690882e-3,3.3681544893946422461344870965021047435397843061233932846112846227e-5
7,9.6092511779351137114425038763840317294822126883992299342069830019e-5,8.3815445311490184590223529434168951826581229481541571594055508168e-7
8,2.7707544023086912266273838674632852045453427780685783894812211662e-6,9.6933888497952793670005902843928732176326140557832567581487884784e-9
9,3.9254579289065461050036067164169393779220356792144070646300148980e-8,3.3894617404942720231376387855904174159127037578156133687349545733e-11
10,1.9013716987595973805178168138950705757404914182494203055677127687e-10,-1.1692906980621744452803360671090273215841093369360735252902798460e-14
relative error = 1.5577822559e-32

x=6, n=10, |dx| = 0.5
i,p_i,q_i
0,4.7874917427820459942477009345232430483995923151720329360093822536e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,5.3855905648281770750626128567953784990589823362349897739785061341e0,7.6855963291086709096977581933889389877333567390818742536584766366e-1
2,2.5924643208214166146322876187848369444699391417887820057246548903e0,2.4867921198926871056518070138867609753328625561891654752144584949e-1
3,6.9926464444568516438343932910581673376547958257936755896347499808e-1,4.4026154330447821209527775888511266426319108991783572658159773866e-2
4,1.1616282143493781324758801952361680255932348868729181447837086268e-1,4.6393217783752565835174819750238914271989175959028327628052189634e-3
5,1.2292565700955462271486622968442513935009685592905920060524900157e-2,2.9646179218579083752867699317898616470693289080450872453174057618e-4
6,8.2746258128222189757878671937843238522724107169424851773721260986e-4,1.1200111283187458999148977821765899912609028795583449765749216077e-5
7,3.4289427072208937897965316433133047631011814446855226103169955601e-5,2.3198048717015625953290455488144907530763301603620032802842384499e-7
8,8.1232015822058118151954702931757874876699630905810815195206818093e-7,2.2337128492717023787397365882780782133809625898768634351717168932e-9
9,9.4638564281102026890423876916900050663383633636071372854524349302e-9,6.5145584097649570619156866633449292410900368912763872447534326498e-12
10,3.7706237008542042717983405753737347602385660803986825480857820472e-11,-1.8076375750020700890221658959541680723355908050497230323499754975e-15
relative error = 2.0430311244e-34

x=7, n=9, |dx| = 0.5
i,p_i,q_i
