x,y_expected,y_actual,error(abs),error(rate)
0.03125,-1.76720398521947863190e28,-1.7672039852194786E+28,3.21122308e8,1.81712078e-20
0.0625,-2.15723142726987159463e24,-2.1572314272698716E+24,5.05945794e7,2.34534778e-17
0.09375,-1.10843535796667454402e22,-1.1084353579666746E+22,4.11662255e5,3.71390403e-17
0.125,-2.63333914461757846237e20,-2.6333391446175783E+20,1.30210751e4,4.94470117e-17
0.15625,-1.44769350469905455893e19,-1.4476935046990547E+19,1.35470597e3,9.35768492e-17
0.1875,-1.35307050538171133872e18,-1.3530705053817114E+18,2.12801175e1,1.57272791e-17
0.21875,-1.82394678008449996329e17,-1.8239467800845002E+17,1.96713096e1,1.07850239e-16
0.25,-3.21452532565285473807e16,-32145253256528548,6.19282231e-1,1.92651222e-17
0.28125,-6.95238895138538582463e15,-6952388951385386,1.75371053e-1,2.52245745e-17
0.3125,-1.76720399919358083821e15,-1767203999193581,1.61791849e-1,9.15524459e-17
0.34375,-5.11896056539139524272e14,-511896056539139.5,2.42717741e-2,4.74154348e-17
0.375,-1.65169747054389070129e14,-165169747054389.1,2.36214577e-2,1.43013222e-16
0.40625,-5.83476198411979100565e13,-58347619841197.914,4.00596861e-3,6.86569327e-17
0.4375,-2.22649796227919968331e13,-22264979622791.996,7.39396747e-4,3.32089568e-17
0.46875,-9.08030569234063801467e12,-9080305692340.637,1.29592233e-3,1.42717919e-16
0.5,-3.92398357167760942683e12,-3923983571677.6094,5.18285476e-5,1.32081459e-17
0.53125,-1.78423133892511606656e12,-1784231338925.1162,1.44380176e-4,8.09200986e-17
0.5625,-8.48681739642941461864e11,-848681739642.9415,6.64558584e-5,7.83048053e-17
0.59375,-4.20233846551532341126e11,-420233846551.53235,7.50712685e-6,1.78641652e-17
0.625,-2.15724013905764826097e11,-215724013905.76483,5.44589087e-6,2.52447132e-17
0.65625,-1.14403268637307143801e11,-114403268637.30714,3.63920944e-7,3.18103625e-18
0.6875,-6.24878439237731357407e10,-62487843923.77313,3.41644308e-6,5.46737232e-17
0.71875,-3.50614620417284477887e10,-35061462041.72845,8.28246601e-7,2.36227057e-17
0.75,-2.01626544290438616923e10,-20162654429.043865,3.51154604e-6,1.74160900e-16
0.78125,-1.18597695906309646609e10,-11859769590.630964,3.81730481e-7,3.21870065e-17
0.8125,-7.12272244461717911055e9,-7122722444.61718,7.60053393e-7,1.06708270e-16
0.84375,-4.36088441000371572765e9,-4360884410.0037155,2.12513760e-7,4.87318031e-17
0.875,-2.71802833824485487254e9,-2718028338.244855,5.45223286e-8,2.00595144e-17
0.90625,-1.72242510602121711121e9,-1722425106.0212173,2.34980286e-7,1.36424095e-16
0.9375,-1.10852410985428270634e9,-1108524109.8542826,8.87674303e-8,8.00771309e-17
0.96875,-7.23815585645915635460e8,-723815585.6459155,1.27189326e-7,1.75720623e-16
1,-4.79060379889831452427e8,-479060379.8898313,1.47876706e-7,3.08680726e-16
1.03125,-3.21122308237381671215e8,-321122308.2373817,2.54862906e-8,7.93663036e-17
1.0625,-2.17840876615399590848e8,-217840876.61539957,2.15752153e-8,9.90411701e-17
1.09375,-1.49450161208708933287e8,-149450161.20870888,5.09556022e-8,3.40953812e-16
1.125,-1.03625437075141218439e8,-103625437.07514122,2.84549838e-9,2.74594584e-17
1.15625,-7.25766370205868652192e7,-72576637.02058686,2.05909560e-9,2.83713283e-17
1.1875,-5.13163203995045227123e7,-51316320.39950453,4.73733086e-9,9.23162616e-17
1.21875,-3.66124021149062606445e7,-36612402.11490625,9.21398205e-9,2.51662866e-16
1.25,-2.63461473807177694477e7,-26346147.38071777,1.82520111e-10,6.92777232e-18
1.28125,-1.91134459541757600472e7,-19113445.954175755,4.66560428e-9,2.44100634e-16
1.3125,-1.39741022063388343099e7,-13974102.206338834,2.92340451e-10,2.09201598e-17
1.34375,-1.02923360724935793834e7,-10292336.072493577,2.00740487e-9,1.95038799e-16
1.375,-7.63417483449373050090e6,-7634174.834493728,2.14632691e-9,2.81147204e-16
1.40625,-5.70074017035320742950e6,-5700740.170353208,3.07709604e-10,5.39771318e-17
1.4375,-4.28443291550822192985e6,-4284432.915508222,9.49531174e-11,2.21623536e-17
1.46875,-3.23987776257959835397e6,-3239877.762579597,1.28688556e-9,3.97201888e-16
1.5,-2.46447760942682854758e6,-2464477.6094268286,1.93606269e-11,7.85587452e-18
1.53125,-1.88528428004874380383e6,-1885284.2800487434,4.47815397e-10,2.37532027e-16
1.5625,-1.45005896442689702404e6,-1450058.9644268968,2.56351272e-10,1.76786792e-16
1.59375,-1.12113609052638934495e6,-1121136.0905263894,7.88037422e-11,7.02891851e-17
1.625,-8.71178777688417717879e5,-871178.7776884178,9.86559847e-11,1.13244247e-16
1.65625,-6.80220883624718859312e5,-680220.8836247185,3.34796806e-10,4.92188367e-16
1.6875,-5.33590911386256018925e5,-533590.911386256,2.91425235e-11,5.46158543e-17
1.71875,-4.20444847971046248323e5,-420444.8479710462,2.12930419e-11,5.06440784e-17
1.75,-3.32722474741131421270e5,-332722.4747411313,1.21163077e-10,3.64156576e-16
1.78125,-2.64400195764495202878e5,-264400.1957644952,2.66152436e-11,1.00662723e-16
1.8125,-2.10952862083931923662e5,-210952.86208393198,5.37327835e-11,2.54714646e-16
1.84375,-1.68963841338423645464e5,-168963.84133842363,1.17493409e-11,6.95376052e-17
1.875,-1.35840886568577994173e5,-135840.88656857796,3.40395738e-11,2.50584155e-16
1.90625,-1.09607958609608870601e5,-109607.95860960885,2.45833144e-11,2.24284028e-16
1.9375,-8.87518876231073283464e4,-88751.88762310731,2.01737614e-11,2.27305153e-16
1.96875,-7.21088476789478955223e4,-72108.84767894787,2.18759481e-11,3.03373980e-16
2,-5.87798898314524268768e4,-58779.88983145242,7.41927301e-12,1.26221281e-16
2.03125,-4.80677937554726475964e4,-48067.79375547265,4.66848926e-12,9.71230192e-17
2.0625,-3.94296377584753924583e4,-39429.637758475394,1.18062167e-12,2.99424935e-17
2.09375,-3.24410141795761075184e4,-32441.01417957611,7.71974793e-13,2.37962595e-17
2.125,-2.67689130346467880703e4,-26768.91303464678,8.94618394e-12,3.34200493e-16
2.15625,-2.21510871870105405613e4,-22151.08718701054,3.41788348e-13,1.54298678e-17
2.1875,-1.83802853148480618448e4,-18380.285314848057,4.67577437e-12,2.54390740e-16
2.21875,-1.52921563484654528517e4,-15292.156348465447,5.77044957e-12,3.77347016e-16
2.25,-1.27559345523473676950e4,-12755.934552347366,1.94276462e-12,1.52302806e-16
2.28125,-1.06672390556904730111e4,-10667.239055690467,6.45385863e-12,6.05016780e-16
2.3125,-8.94248753713520313459e3,-8942.487537135203,4.05910032e-13,4.53911767e-17
2.34375,-7.51454682953311823618e3,-7514.546829533117,1.65706275e-12,2.20513996e-16
2.375,-6.32933487681772201309e3,-6329.334876817724,1.83949609e-12,2.90630236e-16
2.40625,-5.34315703603428762256e3,-5343.157036034285,2.79362915e-12,5.22842420e-16
2.4375,-4.52061120152310875156e3,-4520.6112015231065,2.25001044e-12,4.97722617e-16
2.46875,-3.83293503853388803523e3,-3832.9350385338876,4.71260889e-13,1.22950398e-16
2.5,-3.25669798040269785998e3,-3256.697980402698,6.54924111e-14,2.01100659e-17
2.53125,-2.77276294628391954971e3,-2772.762946283919,4.85992674e-13,1.75273791e-16
2.5625,-2.36545973510012881471e3,-2365.4597351001285,3.59617883e-13,1.52028748e-16
2.59375,-2.02192505249477163765e3,-2021.925052494771,5.57559321e-13,2.75756671e-16
2.625,-1.73157410503207595624e3,-1731.5741050320762,2.47984754e-13,1.43213481e-16
2.65625,-1.48567637826581778665e3,-1485.6763782658174,3.38895626e-13,2.28108645e-16
2.6875,-1.27701414963769568224e3,-1277.0141496376955,2.00293508e-13,1.56845175e-16
2.71875,-1.09960688566486062680e3,-1099.6068856648606,7.07386231e-14,6.43308295e-17
2.75,-9.48488247199988829965e2,-948.4882471999886,2.66158018e-13,2.80612879e-16
2.78125,-8.19525213144055879740e2,-819.5252131440556,3.23881275e-13,3.95205992e-16
2.8125,-7.09271011836281286633e2,-709.2710118362813,4.52194556e-14,6.37548340e-17
2.84375,-6.14845257867817803405e2,-614.8452578678177,6.73635060e-14,1.09561723e-16
2.875,-5.33836035538492341089e2,-533.8360355384923,4.42516403e-14,8.28936928e-17
2.90625,-4.64219729486830000773e2,-464.2197294868299,8.12219633e-14,1.74964479e-16
2.9375,-4.04295240510076446472e2,-404.29524051007627,1.77524495e-13,4.39096179e-16
2.96875,-3.52629888435233356483e2,-352.62988843523334,1.62222652e-14,4.60036591e-17
3,-3.08014831452426876764e2,-308.01483145242696,8.40582778e-14,2.72903345e-16
3.03125,-2.69428251609667231418e2,-269.4282516096672,3.16455005e-14,1.17454277e-16
3.0625,-2.36004891821803766044e2,-236.0048918218038,2.93936900e-14,1.24546952e-16
3.09375,-2.07010798451452099953e2,-207.0107984514521,3.61085881e-15,1.74428524e-17
3.125,-1.81822339133956593811e2,-181.82233913395655,4.71359726e-14,2.59241922e-16
3.15625,-1.59908738929143791334e2,-159.9087389291438,3.06010431e-15,1.91365671e-17
3.1875,-1.40817517664302423398e2,-140.81751766430244,1.94837953e-14,1.38362013e-16
3.21875,-1.24162324255419705017e2,-124.16232425541972,1.40485299e-14,1.13146480e-16
3.25,-1.09612755215217835199e2,-109.61275521521785,1.00627250e-14,9.18025003e-17
3.28125,-9.68858187275609578912e1,-96.88581872756096,1.58233056e-15,1.63319109e-17
3.3125,-8.57387659682286865080e1,-85.73876596822865,3.82459377e-14,4.46075206e-16
3.34375,-7.59630604755306797641e1,-75.9630604755307,1.64164708e-14,2.16111235e-16
3.375,-6.73792964723027442346e1,-67.37929647230274,3.24003177e-15,4.80864588e-17
3.40625,-5.98329098357586829460e1,-59.832909835758684,1.43437745e-15,2.39730518e-17
3.4375,-5.31905522850966432099e1,-53.19055228509666,1.44599195e-14,2.71851277e-16
3.46875,-4.73370214193517438685e1,-47.33702141935174,1.18923987e-15,2.51228284e-17
3.5,-4.21726573844578599810e1,-42.17265738445784,1.74700592e-14,4.14250851e-16
3.53125,-3.76111319010264320634e1,-37.611131901026425,6.72408966e-15,1.78779242e-16
3.5625,-3.35775677270734467639e1,-33.57756772707345,3.73480553e-15,1.11229186e-16
3.59375,-3.00069368361668911567e1,-30.006936836166886,4.70584203e-15,1.56825139e-16
3.625,-2.68426940455404207516e1,-26.842694045540426,5.62144969e-15,2.09421963e-16
3.65625,-2.40356098432449208575e1,-24.03560984324492,7.43358269e-16,3.09273729e-17
3.6875,-2.15427719931587846314e1,-21.542771993158784,8.59367765e-16,3.98912343e-17
3.71875,-1.93267303496531673710e1,-19.326730349653158,9.86745085e-15,5.10559762e-16
3.75,-1.73547633600336567610e1,-17.354763360033658,1.39839697e-15,8.05771268e-17
3.78125,-1.55982481119407612381e1,-15.598248111940759,2.46261916e-15,1.57877932e-16
3.8125,-1.40321186090872995879e1,-14.032118609087298,1.12146601e-15,7.99213603e-17
3.84375,-1.26343993260913446784e1,-12.634399326091343,2.14808924e-15,1.70019103e-16
3.875,-1.13858030791785201536e1,-11.385803079178519,1.18296460e-15,1.03898213e-16
3.90625,-1.02693839180608821167e1,-10.269383918060882,2.06064769e-16,2.00659330e-17
3.9375,-9.27023714813010053193e0,-9.270237148130096,4.06019842e-15,4.37982153e-16
3.96875,-8.37523977490342185057e0,-8.375239774903422,1.23706851e-16,1.47705445e-17
4,-7.57282566062684628134e0,-7.572825660626844,2.46797989e-15,3.25899473e-16
4.03125,-6.85279052611416388378e0,-6.852790526114164,5.09558566e-16,7.43578203e-17
4.0625,-6.20612264425739345045e0,-6.206122644257395,1.23220363e-15,1.98546452e-16
4.09375,-5.62485567597548789400e0,-5.624855675975487,5.92657473e-16,1.05364032e-16
4.125,-5.10194061200873062415e0,-5.101940612008731,1.00220189e-16,1.96435429e-17
4.15625,-4.63113421938949049622e0,-4.631134219389491,3.84080396e-16,8.29344127e-17
4.1875,-4.20690176172740224073e0,-4.206901761727401,8.62004656e-16,2.04902492e-16
4.21875,-3.82433207777092377749e0,-3.824332077770924,2.10220487e-16,5.49692033e-17
4.25,-3.47906337154283008137e0,-3.47906337154283,2.29124624e-16,6.58581347e-17
4.28125,-3.16721829682681105900e0,-3.167218296826811,1.60086734e-16,5.05449006e-17
4.3125,-2.88534711490189921239e0,-2.885347114901898,1.11004760e-15,3.84718912e-16
4.34375,-2.63037787222823458176e0,-2.6303778722282347,1.32906968e-16,5.05277091e-17
4.375,-2.39957268853585907312e0,-2.399572688535859,4.01116177e-17,1.67161503e-17
4.40625,-2.19048936904808794952e0,-2.1904893690480876,3.96085000e-16,1.80820325e-16
4.4375,-2.00094766041629803204e0,-2.0009476604162977,3.52213185e-16,1.76023188e-16
4.46875,-1.82899956092038793960e0,-1.828999560920388,1.71421233e-17,9.37240425e-18
4.5,-1.67290317377287066955e0,-1.672903173772871,3.40978787e-16,2.03824580e-16
4.53125,-1.53109965979843352248e0,-1.5310996597984334,9.02799986e-17,5.89641556e-17
4.5625,-1.40219290391046495250e0,-1.4021929039104644,5.91438435e-16,4.21795342e-16
4.59375,-1.28493156000240460931e0,-1.2849315600024043,3.37697627e-16,2.62813707e-16
4.625,-1.17819318224749565689e0,-1.1781931822474956,7.17851869e-17,6.09281975e-17
4.65625,-1.08097018832067075780e0,-1.0809701883206708,6.39245923e-17,5.91363139e-17
4.6875,-9.92357432544059575144e-1,-0.9923574325440594,1.82745676e-16,1.84153079e-16
4.71875,-9.11541195115887736122e-1,-0.9115411951158876,1.32516379e-16,1.45376183e-16
4.75,-8.37789418012233197531e-1,-0.8377894180122334,1.91390476e-16,2.28446996e-16
4.78125,-7.70443039366432782206e-1,-0.7704430393664328,1.30067970e-17,1.68822305e-17
4.8125,-7.08908296572402053629e-1,-0.7089082965724018,2.12156096e-16,2.99271566e-16
4.84375,-6.52649884403512555152e-1,-0.6526498844035125,9.60222239e-17,1.47126700e-16
4.875,-6.01184868412254052495e-1,-0.6011848684122538,2.26941009e-16,3.77489556e-16
4.90625,-5.54077266056366140927e-1,-0.5540772660563662,6.12801846e-17,1.10598626e-16
4.9375,-5.10933218624160326137e-1,-0.5109332186241604,8.62095510e-17,1.68729587e-16
4.96875,-4.71396686311766005585e-1,-0.47139668631176584,1.61016461e-16,3.41573172e-16
5,-4.35145606915908781341e-1,-0.43514560691590876,2.54892345e-17,5.85763341e-17
5.03125,-4.01888465701031623138e-1,-0.40188846570103154,8.44807923e-17,2.10209547e-16
5.0625,-3.71361230211619480118e-1,-0.3713612302116194,1.04821617e-16,2.82263222e-16
5.09375,-3.43324609244029275379e-1,-0.3433246092440293,2.42031914e-17,7.04965234e-17
5.125,-3.17561599966056223236e-1,-0.31756159996605615,7.15355930e-17,2.25265249e-16
5.15625,-2.93875291362695392945e-1,-0.2938752913626954,1.92445909e-17,6.54855698e-17
5.1875,-2.72086895867458952344e-1,-0.272086895867459,3.64627467e-17,1.34011403e-16
5.21875,-2.52033984274704290053e-1,-0.25203398427470414,1.53045157e-16,6.07240160e-16
5.25,-2.33568901875736395270e-1,-0.23356890187573637,2.75240307e-17,1.17841162e-16
5.28125,-2.16557346268652216903e-1,-0.21655734626865208,1.32427400e-16,6.11511926e-16
5.3125,-2.00877089501338083250e-1,-0.20087708950133804,4.79344410e-17,2.38625724e-16
5.34375,-1.86416829155573612011e-1,-0.18641682915557362,3.65046287e-18,1.95822603e-17
5.375,-1.73075154699950940629e-1,-0.1730751546999509,2.90103920e-17,1.67617311e-16
5.40625,-1.60759616958289040557e-1,-0.160759616958289,4.27784580e-17,2.66102015e-16
5.4375,-1.49385889882846720193e-1,-0.14938588988284673,1.38965043e-17,9.30242096e-17
5.46875,-1.38877015009258143430e-1,-0.13887701500925814,1.07689338e-18,7.75429530e-18
5.5,-1.29162720021387532369e-1,-0.1291627200213875,2.08532916e-17,1.61449771e-16
5.53125,-1.20178803785545456563e-1,-0.12017880378554549,3.39156534e-17,2.82209943e-16
5.5625,-1.11866581039015727250e-1,-0.11186658103901571,1.33222807e-17,1.19090801e-16
5.59375,-1.04172380650127884781e-1,-0.1041723806501279,2.00413957e-17,1.92386846e-16
5.625,-9.70470920171520963307e-2,-0.09704709201715206,3.73126570e-17,3.84479907e-16
5.65625,-9.04457547507227298728e-2,-0.09044575475072272,6.56981055e-18,7.26381307e-17
5.6875,-8.43271872977720316369e-2,-0.08432718729777203,4.48439704e-18,5.31785440e-17
5.71875,-7.86536506215091469424e-2,-0.07865365062150916,8.26287003e-18,1.05053865e-16
5.75,-7.33905434583490094389e-2,-0.07339054345834899,2.31445580e-17,3.15361584e-16
5.78125,-6.85061260346332827845e-2,-0.06850612603463328,8.84696173e-20,1.29141177e-18
5.8125,-6.39712694485581889306e-2,-0.06397126944855819,1.06607815e-18,1.66649523e-17
5.84375,-5.97592282103970606998e-2,-0.059759228210397086,2.55119036e-17,4.26911531e-16
5.875,-5.58454336908170275490e-2,-0.05584543369081701,1.99053437e-17,3.56436371e-16
5.90625,-5.22073064563150859513e-2,-0.05220730645631505,3.57708995e-17,6.85170370e-16
5.9375,-4.88240856756085327577e-2,-0.048824085675608524,9.06432177e-18,1.85652668e-16
5.96875,-4.56766739639211576298e-2,-0.04567667396392115,5.43030019e-18,1.18885631e-16
6,-4.27474961959087813410e-2,-0.042747496195908785,3.79163596e-18,8.86984339e-17
6.03125,-4.00203709645887367392e-2,-0.04002037096458873,8.84805024e-18,2.21088661e-16
6.0625,-3.74803934949577225930e-2,-0.03748039349495773,5.72455299e-18,1.52734602e-16
6.09375,-3.51138289386669835992e-2,-0.03511382893866698,6.41283560e-18,1.82629915e-16
6.125,-3.29080150816500503916e-2,-0.032908015081650054,3.17664406e-18,9.65310139e-17
6.15625,-3.08512735912768110787e-2,-0.030851273591276818,6.59733339e-18,2.13843146e-16
6.1875,-2.89328290146019276257e-2,-0.028932829014601924,3.60311190e-18,1.24533688e-16
6.21875,-2.71427348156190949124e-2,-0.027142734815619088,7.06102344e-18,2.60144141e-16
6.25,-2.54718058080440691605e-2,-0.025471805808044055,1.37413082e-17,5.39471299e-16
6.28125,-2.39115564018458881011e-2,-0.02391155640184589,2.27281754e-18,9.50510079e-17
6.3125,-2.24541441372544814687e-2,-0.02245414413725448,5.84555825e-19,2.60333158e-17
6.34375,-2.10923180299415117413e-2,-0.021092318029941506,5.34481032e-18,2.53400803e-16
6.375,-1.98193712960768076207e-2,-0.01981937129607681,3.57453229e-18,1.80355483e-16
6.40625,-1.86290980665195953455e-2,-0.0186290980665196,3.69630811e-18,1.98415839e-16
6.4375,-1.75157537359708096177e-2,-0.017515753735970807,2.52538046e-18,1.44177664e-16
6.46875,-1.64740186258996940280e-2,-0.016474018625899693,8.47899955e-19,5.14689205e-17
6.5,-1.54989646698305043896e-2,-0.015498964669830508,3.13378622e-18,2.02193261e-16
6.53125,-1.45860248564603040183e-2,-0.014586024856460305,9.53179028e-19,6.53487867e-17
6.5625,-1.37309651903688621984e-2,-0.013730965190368864,2.06094724e-18,1.50094856e-16
6.59375,-1.29298589520379993228e-2,-0.012929858952037994,5.07365117e-18,3.92398029e-16
6.625,-1.21790630587543928340e-2,-0.012179063058754387,5.67295301e-18,4.65795520e-16
6.65625,-1.14751963459364525724e-2,-0.011475196345936453,5.29370908e-19,4.61317517e-17
6.6875,-1.08151196046901885306e-2,-0.01081511960469019,1.52490536e-18,1.40997549e-16
6.71875,-1.01959172261293897660e-2,-0.010195917226129387,3.19525157e-18,3.13385397e-16
6.75,-9.61488031634292778176e-3,-0.009614880316342927,9.73597417e-19,1.01259442e-16
6.78125,-9.06949115799212183178e-3,-0.00906949115799212,1.73951848e-18,1.91798905e-16
6.8125,-8.55740890549555237581e-3,-0.008557408905495553,1.49940512e-19,1.75217188e-17
6.84375,-8.07645641071680991552e-3,-0.008076456410716809,1.17573085e-18,1.45575088e-16
6.875,-7.62460808511068649192e-3,-0.007624608085110687,8.35816338e-19,1.09620892e-16
6.90625,-7.19997871249362557860e-3,-0.007199978712493626,2.58962553e-19,3.59671276e-17
6.9375,-6.80081313406435128407e-3,-0.006800813134064351,3.46910383e-19,5.10101331e-17
6.96875,-6.42547673408207071914e-3,-0.006425476734082071,1.37370830e-19,2.13790876e-17
7,-6.07244666077694168242e-3,-0.0060724466607769405,1.13280006e-18,1.86547552e-16
7.03125,-5.74030372267870069802e-3,-0.0057403037226787,4.10222696e-19,7.14635872e-17
7.0625,-5.42772490565681102871e-3,-0.00542772490565681,9.75450188e-19,1.79716217e-16
7.09375,-5.13347646061643777817e-3,-0.005133476460616437,7.60517385e-19,1.48148607e-16
7.125,-4.85640751603159670585e-3,-0.004856407516031597,1.72643491e-19,3.55496301e-17
7.15625,-4.59544417335842034810e-3,-0.00459544417335842,1.03022589e-19,2.24184181e-17
7.1875,-4.34958404689238025522e-3,-0.004349584046892379,1.29731079e-18,2.98260886e-16
7.21875,-4.11789121284488878971e-3,-0.004117891212844889,1.14632525e-19,2.78376769e-17
7.25,-3.89949153534535539254e-3,-0.0038994915353453563,9.15286465e-19,2.34719439e-16
7.28125,-3.69356833975015504170e-3,-0.0036935683397501563,1.29016886e-18,3.49301472e-16
7.3125,-3.49935840608330216720e-3,-0.0034993584060833017,4.77538031e-19,1.36464453e-16
7.34375,-3.31614825766593162110e-3,-0.003316148257665931,8.29454125e-19,2.50125767e-16
7.375,-3.14327072203200523342e-3,-0.0031432707220320046,6.43809338e-19,2.04821473e-16
7.40625,-2.98010174309323435031e-3,-0.0029801017430932343,7.83632716e-20,2.62955021e-17
7.4375,-2.82605742522266737653e-3,-0.002826057425222666,1.39570156e-18,4.93868791e-16
